annee,postes_budgetaires,etpt
1980,28.0,
1981,28.0,
1982,32.0,
1983,32.0,
1984,34.0,
1985,34.0,
1986,37.0,
1987,37.0,
1988,37.0,
1989,37.0,
1990,37.0,
1991,42.0,
1992,46.0,
1993,50.0,
1994,54.0,
1995,55.0,
1996,55.0,
1997,56.0,
1998,57.0,
1999,57.0,
2000,58.0,
2001,70.0,
2002,74.0,
2003,76.0,
2004,80,80
2005,83,85
2006,95,90
2007,105,100
2008,120,113
2009,132,126
2010,148,140
2011,159,153
2012,171,165
2013,178,175
2014,185,182
2015,192,189
2016,198,195
2017,199,198
2018,200,199
2019,215,208
2020,225,220
2021,245,235
2022,270,262
2023,288,278
