annee,nombre_de_dossiers_recus_dans_lannee,nombre_de_verifications_de_fichiers_realisees_dans_lannee
1984,60.0,87.0
1985,82.0,135.0
1986,70.0,131.0
1987,87.0,266.0
1988,70.0,205.0
1989,69.0,206.0
1990,182.0,461.0
1991,562.0,1228.0
1992,531.0,829.0
1993,374.0,490.0
1994,282.0,421.0
1995,243.0,439.0
1996,320.0,529.0
1997,385.0,639.0
1998,401.0,535.0
1999,671.0,808.0
2000,817.0,1313.0
2001,836.0,1411.0
2002,1264.0,2315.0
2003,1163.0,1962.0
2004,1970.0,2457.0
2005,2513.0,3210.0
2006,1595.0,5183.0
2007,2660.0,5000.0
2008,2516.0,4519.0
2009,2217.0,5712.0
2010,1877.0,4185.0
2011,2099.0,3374.0
2012,3682.0,3147.0
2013,4305.0,6623.0
2014,5246.0,6656.0
2015,5890.0,8784.0
2016,4381.0,7909.0
2017,4039.0,8297.0
2018,4264.0,6631.0
2019,4517.0,3573.0
2020,3996.0,3286.0
2021,5882.0,3960.0
2022,7417.0,5803.0
