annee,nombre_de_dossiers_recus_dans_lannee,nombre_de_verifications_de_fichiers_realisees_dans_lannee
1984,60,87
1985,82,135
1986,70,131
1987,87,266
1988,70,205
1989,69,206
1990,182,461
1991,562,1228
1992,531,829
1993,374,490
1994,282,421
1995,243,439
1996,320,529
1997,385,639
1998,401,535
1999,671,808
2000,817,1313
2001,836,1411
2002,1264,2315
2003,1163,1962
2004,1970,2457
2005,2513,3210
2006,1595,5183
2007,2660,5000
2008,2516,4519
2009,2217,5712
2010,1877,4185
2011,2099,3374
2012,3682,3147
2013,4305,6623
2014,5246,6656
2015,5890,8784
2016,4381,7909
2017,4039,8297
2018,4264,6631
2019,4517,3573
2020,3996,3286
2021,5882,3960
2022,7417,5803
